title,pdate,ptime
นักวิชาการชี้กรณี Zipmex เขย่าตลาดสินทรัพย์ดิจิทัลเป็นสัญญาณคริปโทฯร่วงยุคดอกเบี้ยขาขึ้น,2022-07-24,15:51:00
บอร์ดก.ล.ต.มีคำสั่งให้ Zipmex เปิดซื้อขายตาม Trading rules และฝาก/ถอนสินทรัพย์ดิจิทัล,2022-07-25,21:40:00
ดาวโจนส์ร่วงต่อเนื่อง ล่าสุดดิ่งกว่า 200 จุด กังวลผลประกอบการวอลมาร์ท,2022-07-26,23:05:00
ดาวโจนส์บวกกว่า 100 จุด นักลงทุนลุ้นผลประชุมเฟดคืนนี้,2022-07-27,20:41:00
ดาวโจนส์ผันผวน ล่าสุดเด้งกว่า 200 จุด เก็งเฟดผ่อนคันเร่งขึ้นดบ. หลัง GDP หดตัว,2022-07-28,22:51:00
ดาวโจนส์เปิดบวกเล็กน้อย หลังถูกข้อมูลเศรษฐกิจกดดัน,2022-07-29,20:51:00
ก.ล.ต.ให้ Zipmex แจ้งลูกค้าคืบหน้ากระบวนการพิจารณา Moratorium เพื่อใช้สิทธิในเวลาที่กำหนด,2022-07-30,15:54:00
ผู้เสียหายจาก Zipmex นัดรวมตัวยื่นหนังสือต่อก.ล.ต.พรุ่งนี้เช้า,2022-07-31,13:51:00
ดาวโจนส์ผันผวน แกว่งตัวแดนบวกสลับแดนลบ,2022-08-01,23:57:00
"ดาวโจนส์ลดช่วงลบ หลัง ""เพโลซี"" เดินทางถึงไต้หวัน",2022-08-02,23:34:00
บอนด์ยีลด์สหรัฐดีดตัว ขานรับตัวเลขเศรษฐกิจแข็งแกร่ง,2022-08-03,23:58:00
BoE ยันอังกฤษไม่ได้เผชิญวิกฤตค่าเงินปอนด์,2022-08-04,23:09:00
บอนด์ยีลด์สหรัฐดีดตัวทะลุ 2.8% หลังจ้างงานพุ่งหนุนเฟดเร่งขึ้นดอกเบี้ย,2022-08-05,21:09:00
ญี่ปุ่นเล็งพิจารณาข้อเสนอลดภาษีรายได้จากการลงทุนในคริปโทฯลงเหลือ 20%,2022-08-06,12:49:00
AOT แจงจัดจ้างระบบลำเลียงกระเป๋าสัมภาระสนามบินสุวรรณภูมิโปร่งใสตรวจสอบได้,2022-08-07,17:54:00
บอนด์ยีลด์สหรัฐปรับตัวลง นักลงทุนจับตาดัชนี CPI,2022-08-08,23:30:00
ดาวโจนส์ปรับตัวแคบ รอตัวเลขเงินเฟ้อพรุ่งนี้,2022-08-09,20:52:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ปรับตัวลงเล็กน้อย นักลงทุนซื้อขายระมัดระวัง,2022-08-10,22:07:00
บอนด์ยีลด์สหรัฐดีดตัว นักลงทุนจับตาตัวเลขเงินเฟ้อ,2022-08-11,23:49:00
ดาวโจนส์พุ่งไม่หยุด ล่าสุดทะยานกว่า 200 จุด ขานรับผู้บริโภคลดคาดการณ์เงินเฟ้อ,2022-08-12,23:03:00
EGCO เผย Q2/65 รับผล FX จากบาทอ่อนค่า-ปรับมูลค่ายุติธรรม แม้รายได้โต,2022-08-13,15:46:00
บอนด์ยีลด์สหรัฐปรับตัวลง นักลงทุนจับตาตัวเลขเศรษฐกิจสหรัฐ,2022-08-15,23:48:00
"ดาวโจนส์พุ่งไม่หยุด ล่าสุดทะลุแนว 34,000 ขานรับผลประกอบการกลุ่มค้าปลีก",2022-08-16,23:00:00
ดอลลาร์แข็งค่า ก่อนเฟดเผยรายงานการประชุมวันนี้,2022-08-17,23:43:00
"ดาวโจนส์ร่วงกว่า 100 จุด กังวลผลประกอบการค้าปลีก,ยอดขายบ้านมือสองวูบ",2022-08-18,21:48:00
"ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ดิ่งกว่า 600 จุด หลุดแนว 60,000 ขายทำกำไรฉุดตลาด",2022-08-19,22:08:00
บริษัทขุดบิตคอยน์ใหญ่สุด 3 แห่งของสหรัฐขาดทุนอ่วมกว่าพันล้านดอลล์ใน Q2,2022-08-20,11:14:00
เอไอเอส เตรียมฟ้องดำเนินคดี หลังถูกปล่อยข่าวเท็จขอกสทช.ห้ามรวมคลื่นทรู-ดีแทค,2022-08-21,13:44:00
บอนด์ยีลด์สหรัฐพุ่งทะลุ 3% เก็งเฟดขึ้นดอกเบี้ยแรงสกัดเงินเฟ้อ,2022-08-22,23:44:00
"ดาวโจนส์พลิกร่วงกว่า 100 จุด หลุดแนว 33,000 บอนด์ยีลด์พุ่ง,เศรษฐกิจซบฉุดตลาด",2022-08-23,22:43:00
ดาวโจนส์พลิกพุ่งกว่า 100 จุด หลังทรงตัวในช่วงแรก,2022-08-24,23:02:00
รัสเซียเตรียมเปิดซื้อขายหุ้นในช่วงค่ำ เริ่มตั้งแต่เดือนก.ย.,2022-08-25,23:30:00
"ดอลลาร์แข็งค่า ขานรับถ้อยแถลง ""พาวเวล""",2022-08-26,23:26:00
"วาทะ ""พาวเวล"" แค่ 8 นาที ทำเศรษฐีมะกันสูญเงิน 7.8 หมื่นล้านดอลลาร์",2022-08-27,09:28:00
TRUE ใช้เงิน 88.78 ลบ.ซื้อ Seekone 68.28% รุกธุรกิจแพลตฟอร์มด้านโฮมเซอร์วิส,2022-08-28,13:13:00
"บอนด์ยีลด์สหรัฐดีดตัว ขานรับถ้อยแถลง ""พาวเวล""",2022-08-29,23:07:00
ยูโรดีดตัวเหนือ $1 เก็ง ECB ขึ้นดอกเบี้ย 0.50-0.75% ในการประชุมเดือนก.ย.,2022-08-30,22:48:00
ปอนด์อ่อนค่า กังวลเศรษฐกิจอ่อนแอ,2022-08-31,23:20:00
เยนร่วงต่ำสุดรอบ 24 ปีเทียบดอลลาร์ ทะลุ 140 เยน,2022-09-01,23:56:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ปรับตัวแคบ นักลงทุนจับตาตัวเลขจ้างงานสหรัฐ,2022-09-02,23:59:00
EA ตั้งบ.ร่วมทุนศึกษาธุรกิจพัฒนาสินค้าเกษตร,2022-09-03,10:17:00
"""ธีระชัย"" ลุยซื้อหุ้น TEAMG เพิ่ม ล่าสุดถือกว่า 15% ชี้เป็นบริษัทดีมีอนาคต",2022-09-04,14:27:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex พุ่งกว่า 400 จุด หุ้นกลุ่มโลหะนำตลาด,2022-09-05,20:42:00
บอนด์ยีลด์สหรัฐดีดตัว หลังเผยดัชนีภาคบริการสหรัฐ,2022-09-06,23:10:00
บอนด์ยีลด์สหรัฐร่วง นักลงทุนจับตารายงาน Beige Book,2022-09-07,23:24:00
ดาวโจนส์พลิกพุ่งกว่า 100 จุด หลังร่วงลงช่วงแรก,2022-09-08,22:04:00
"ดอลลาร์อ่อนค่า เยน,ยูโรแข็งกดดันตลาด",2022-09-09,23:36:00
"""บิล เมอร์เรย์"" ดาวตลกชื่อดังถูกฉกคริปโทฯการกุศลหายเกลี้ยงร่วม 2 แสนดอลล์",2022-09-10,11:16:00
"บอนด์ยีลด์สหรัฐร่วง หลังดอลล์อ่อน,ผู้บริโภคลดคาดการณ์เงินเฟ้อ",2022-09-12,23:03:00
ดาวโจนส์ไหลไม่หยุด ล่าสุดทรุดกว่า 900 จุด หุ้นร่วงยกแผง ช็อกตัวเลขเงินเฟ้อ,2022-09-13,23:21:00
บอนด์ยีลด์สหรัฐพุ่งทะลุ 3.8% สูงสุด 15 ปี เก็งเฟดเร่งขึ้นดอกเบี้ย,2022-09-14,22:57:00
"ดาวโจนส์ผันผวน ล่าสุดร่วงกว่า 100 จุด หลุดแนว 31,000",2022-09-15,23:34:00
ดอลลาร์แข็งค่า เก็งเฟดเร่งขึ้นดอกเบี้ยสกัดเงินเฟ้อ,2022-09-16,23:01:00
"ปัจจัยลบรุมเร้าฉุดหุ้น ""เมตา"" ร่วง 14% สัปดาห์นี้ ต่ำสุดในรอบกว่า 2 ปี",2022-09-17,15:38:00
นักวิเคราะห์เตือนหุ้นตกหนัก หากเฟดขึ้นดอกเบี้ย 1% สัปดาห์นี้,2022-09-19,23:19:00
ดาวโจนส์ทรุดกว่า 400 จุด หุ้นร่วงยกแผง กูรูเตือนหุ้นตกหนัก หากเฟดขึ้นดอกเบี้ย 1%,2022-09-20,21:41:00
บอนด์ยีลด์สหรัฐอายุ 2 ปี พุ่งทะลุ 4% นิวไฮ 15 ปี ส่งสัญญาณเศรษฐกิจถดถอย,2022-09-21,22:56:00
ดัชนีดอลลาร์พุ่งนิวไฮ 20 ปี สวนทางดอลลาร์ดิ่งเทียบเยน หลังญี่ปุ่นแทรกแซง FX,2022-09-22,22:24:00
"""ซิตี้กรุ๊ป"" เตือนปอนด์อาจดิ่งแตะ 1:1 เทียบดอลลาร์ กังวลอังกฤษก่อหนี้เพิ่ม",2022-09-23,23:45:00
จับตาสินทรัพย์สกุลหยวนเนื้อหอม จีนโวต่างชาติสนใจลงทุนมากขึ้น,2022-09-24,16:31:00
"ดาวโจนส์ไหลไม่หยุด ล่าสุดดิ่งกว่า 200 จุด วิตกตลาด FX ป่วน, เฟดเร่งขึ้นดอกเบี้ย",2022-09-26,23:54:00
ดาวโจนส์พลิกร่วงแดนลบ หลังทะยานกว่า 300 จุด ท่ามกลางการซื้อขายผันผวน,2022-09-27,23:57:00
"ดาวโจนส์ทะยานกว่า 400 จุด หลังดอลล์อ่อน,บอนด์ยีลด์ร่วงขานรับมาตรการ BoE",2022-09-28,23:38:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ร่วงเกือบ 200 จุด จับตาการประชุมแบงก์ชาติอินเดีย,2022-09-29,22:26:00
ดาวโจนส์ร่วงกว่า 100 จุด หลังสหรัฐเผยตัวเลขเงินเฟ้อสูงกว่าคาด,2022-09-30,21:15:00
BAY ปรับขึ้นดอกเบี้ยเงินฝาก 0.10-0.50% เงินกู้ MLR-MOR ขึ้น 0.25% เริ่ม 4 ต.ค.,2022-10-01,12:59:00
ดอลลาร์อ่อนค่า นักลงทุนจับตาตัวเลขเศรษฐกิจ,2022-10-03,23:05:00
"ตลาดหุ้นนิวยอร์กพักซื้อขายหุ้น ""ทวิตเตอร์"" หลัง ""อีลอน มัสก์"" กลับลำเตรียมซื้อกิจการ",2022-10-04,23:38:00
"ดาวโจนส์ไหลไม่หยุด ล่าสุดดิ่งกว่า 300 จุด หลุดแนว 30,000",2022-10-05,21:34:00
บอนด์ยีลด์สหรัฐดีดตัวรับคาดการณ์เฟดเดินหน้าขึ้นดอกเบี้ยสกัดเงินเฟ้อ,2022-10-06,23:26:00
ดาวโจนส์ทรุดเกือบ 600 จุด กังวลบอนด์ยีลด์พุ่ง-ดอลล์แข็ง-เฟดเร่งขึ้นดบ.,2022-10-07,23:57:00
"บล.กสิกรไทย คาดกรอบ SET สัปดาห์หน้า 1,550-1,600 จุด รอติดตามงบ Q3/65-เงินเฟ้อสหรัฐ",2022-10-08,10:06:00
เรดดี้แพลนเน็ต ยื่นไฟลิ่งเสนอขาย IPO 35 ล้านหุ้นเข้า mai ใช้พัฒนาผลิตภัณฑ์-ขยายทีมขาย,2022-10-09,13:04:00
ดาวโจนส์แกว่งตัวบวกลบ ท่ามกลางการซื้อขายผันผวน,2022-10-10,21:53:00
ดาวโจนส์รีบาวด์กว่า 300 จุด หลังร่วง 4 วันติด,2022-10-11,23:47:00
ญี่ปุ่นส่งสัญญาณแทรกแซงตลาด หลังเยนทรุดต่ำสุด 24 ปีเทียบดอลลาร์,2022-10-12,23:46:00
ดาวโจนส์ร่วงหนักกว่า 500 จุด หลังดัชนี CPI สูงกว่าคาดการณ์,2022-10-13,20:41:00
ดาวโจนส์เปิดแดนบวก นลท.ซึมซับยอดค้าปลีกสหรัฐ,2022-10-14,21:20:00
ญี่ปุ่นยืนยันพร้อมจัดการกับอัตราแลกเปลี่ยนที่ปรับตัวผันผวนรุนแรง,2022-10-15,08:35:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex พุ่งเกือบ 500 จุด ขานรับผลประกอบการแกร่ง,2022-10-17,21:07:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex พุ่งกว่า 500 จุด หุ้นแบงก์นำตลาด,2022-10-18,23:53:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ดีดตัวกว่า 100 จุด ขานรับผลประกอบการแกร่ง,2022-10-19,22:30:00
ดาวโจนส์พุ่งไม่หยุด ล่าสุดทะยานกว่า 300 จุด ขานรับผลประกอบการแกร่ง,2022-10-20,21:37:00
ญี่ปุ่นปัดแสดงความเห็น หลังมีข่าวลือแทรกแซงตลาดหนุนค่าเงินเยน,2022-10-21,23:39:00
ญี่ปุ่นแทรกแซงตลาดครั้งที่ 2 หลังเยนทรุดใกล้ 152 ต่อดอลลาร์,2022-10-22,13:42:00
ดอลลาร์ปรับตัวแคบ นักลงทุนจับตาตัวเลขเศรษฐกิจสหรัฐ,2022-10-24,23:52:00
ดาวโจนส์พุ่งไม่หยุด ล่าสุดทะยานกว่า 200 จุด จับตากำไรยักษ์ใหญ่ไอที,2022-10-25,22:35:00
"ดาวโจนส์พุ่งไม่หยุด ล่าสุดทะยานกว่า 300 จุด ทะลุแนว 32,000",2022-10-26,22:29:00
บอนด์ยีลด์สหรัฐร่วง หลังมีสัญญาณบ่งชี้เงินเฟ้อชะลอตัว,2022-10-27,23:35:00
ดาวโจนส์ทะยานกว่า 700 จุด หนุนเดือนต.ค.ทุบสถิติหุ้นขึ้นมากสุดรอบ 35 ปี,2022-10-28,23:59:00
SSS ลดทุน 49 ลบ.หลังกลุ่มสิดทิไชถอนหุ้นออก จ่ายเป็นหุ้น SITTHI แทนเงินสด,2022-10-29,17:24:00
ปอนด์อ่อนค่า แม้คาด BoE ขึ้นดอกเบี้ย 0.75% ในการประชุมสัปดาห์นี้,2022-10-31,23:58:00
บอนด์ยีลด์สหรัฐปรับตัวลง นักลงทุนจับตาประชุมเฟด,2022-11-01,23:26:00
ดาวโจนส์ร่วงกว่า 100 จุด นักลงทุนขายลดความเสี่ยง ก่อนรู้ผลประชุมเฟด,2022-11-02,20:45:00
บอนด์ยีลด์สหรัฐอายุ 2 ปี พุ่งทะลุ 4.7% ส่งสัญญาณเศรษฐกิจถดถอย,2022-11-03,23:14:00
ดอลลาร์ดิ่งหนัก หลังตัวเลขจ้างงานหนุนเฟดขึ้นดอกเบี้ยเพียง 0.50% เดือนธ.ค.,2022-11-04,22:52:00
"หุ้น ""เทสลา"" ร่วง 35% นับตั้งแต่ ""อีลอน มัสก์"" ประกาศซื้อ ""ทวิตเตอร์""",2022-11-05,15:00:00
ตลท.ปูทางเพิ่มสินทรัพย์ดิจิทัลในอนาคตผ่านศูนย์ซื้อขายTDX จับมือพันธมิตรออกผลิตภัณฑ์,2022-11-06,15:50:00
"บอนด์ยีลด์สหรัฐดีดตัว จับตาตัวเลขเงินเฟ้อ,เลือกตั้งกลางเทอม",2022-11-07,23:39:00
บอนด์ยีลด์สหรัฐร่วง คาดเฟดผ่อนคันเร่งขึ้นดอกเบี้ย หากรีพับลิกันคว้าชัยเลือกตั้ง,2022-11-08,23:53:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ลบกว่า 100 จุด หลังดีดตัวขึ้นช่วงแรก,2022-11-09,22:22:00
"ดาวโจนส์ร้อนแรง ทะยานกว่า 1,000 จุด พุ่งมากสุดรอบ 2 ปี ขานรับข่าวดี CPI ต่ำคาด",2022-11-10,23:57:00
ดาวโจนส์ไหลไม่หยุด ล่าสุดดิ่งกว่า 200 จุด,2022-11-11,23:54:00
D โชว์กำไร Q3/65 ทำนิวไฮโต 502% สูงกว่าช่วงก่อนเกิดโควิดหลังลูกค้าไทยต่างชาติกลับมา,2022-11-12,17:40:00
(เพิ่มเติม1) ตลท.-สมาคม บล.ร่วมแถลงด่วน!! แนวทางแก้ไขปัญหากรณีหุ้น MORE พรุ่งนี่,2022-11-13,21:26:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ร่วง แรงขายทำกำไรฉุดตลาด,2022-11-14,21:48:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex บวกกว่า 200 จุด ขานรับเงินเฟ้อชะลอตัว,2022-11-15,22:02:00
บอนด์ยีลด์สหรัฐร่วง นักลงทุนจับตาตัวเลขเศรษฐกิจ,2022-11-16,23:40:00
"ดาวโจนส์ดิ่งกว่า 200 จุด กังวลบอนด์ยีลด์พุ่ง,เฟดขึ้นดบ.ฉุดเศรษฐกิจถดถอย",2022-11-17,21:58:00
บอนด์ยีลด์สหรัฐดีดตัว ขานรับเจ้าหน้าที่เฟดหนุนขึ้นดอกเบี้ย,2022-11-18,23:29:00
DAOL ปัดข่าวบ.แม่ขายกิจการในไทย แต่รับมีรายใหม่สนใจอยู่ระหว่างเจรจา 3-4 ราย,2022-11-19,09:13:00
ดาวโจนส์ร่วงกว่า 100 จุด หุ้นพลังงานฉุดตลาด หลังราคาน้ำมันทรุดหนัก,2022-11-21,23:38:00
"ดาวโจนส์พุ่งกว่า 200 จุด จับตาผลประกอบการ,ถ้อยแถลงเจ้าหน้าที่เฟด",2022-11-22,21:46:00
ดาวโจนส์พุ่งกว่า 100 จุด หุ้นพลังงานร่วงสวนทางตลาด,2022-11-23,22:06:00
"ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex พุ่งกว่า 700 จุด ทะลุแนว 62,000 ทำนิวไฮ",2022-11-24,19:46:00
ดอลลาร์แข็งค่า แรงซื้อสกุลเงินปลอดภัยหนุนตลาด,2022-11-25,23:40:00
ส.สินทรัพย์ดิจิทัลไทย จัดเวทีให้ความรู้ลงทุนสินทรัพย์ทางเลือก หลังมูลค่าตลาดปีก่อนพุ่งสูง,2022-11-26,16:23:00
ดาวโจนส์ร่วงกว่า 200 จุด หุ้นพลังงานดิ่งนำตลาด กังวลเหตุประท้วงในจีนฉุดศก.,2022-11-28,23:38:00
ดอลลาร์อ่อนค่า นักลงทุนส่งแรงขายสกุลเงินปลอดภัย,2022-11-29,23:20:00
"ดาวโจนส์ดิ่งกว่า 200 จุด นลท.ขายลดความเสี่ยง ก่อนลุ้นถ้อยแถลง ""พาวเวล""",2022-11-30,22:30:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex บวกกว่า 100 จุดทำนิวไฮ ขานรับถ้อยแถลงพาวเวล,2022-12-01,23:33:00
ดาวโจนส์ร่วงกว่า 200 จุด กังวลจ้างงานพุ่งหนุนเฟดเร่งขึ้นดอกเบี้ย,2022-12-02,21:48:00
ภาวะตลาดหุ้นลอนดอน: ฟุตซี่ปิดลบ 2.26 จุด หุ้นน้ำมันลบกดดันตลาด,2022-12-03,07:54:00
SC งานเข้า! ปัดผู้ถือหุ้นเอี่ยวทุนจีนสีเทากว้านซื้อบ้าน ยันขายแค่คนไทย,2022-12-04,12:30:00
ดาวโจนส์เปิดร่วงกว่า 200 จุด วิตกเฟดเดินหน้าขึ้นดอกเบี้ย,2022-12-05,21:59:00
ดาวโจนส์ไหลไม่หยุด ล่าสุดดิ่งกว่า 200 จุด กังวลเฟดขึ้นดอกเบี้ยฉุดเศรษฐกิจถดถอย,2022-12-06,23:22:00
"บอนด์ยีลด์สหรัฐร่วงก่อนประชุมเฟด จับตา ""พาวเวล"" ส่งสัญญาณดอกเบี้ยปี 66",2022-12-07,23:29:00
ดอลลาร์อ่อนค่า จับตา 3 แบงก์ชาติยักษ์ใหญ่ประชุมนโยบายการเงินสัปดาห์หน้า,2022-12-08,23:46:00
ดาวโจนส์ร่วงต่อเนื่อง ล่าสุดลบกว่า 100 จุด ผิดหวัง PPI รอลุ้น CPI สัปดาห์หน้า,2022-12-09,22:31:00
"""แบงค์แมน-ฟรีด"" ยืนยันเข้าให้การกับสภาสหรัฐกรณี FTX ล้มละลาย 13 ธ.ค.นี้",2022-12-10,16:44:00
เจ้าสัวคีรีปลื้ม! BTS คว้าแชมป์ธุรกิจคมนาคม ดัชนียั่งยืนดาวโจนส์,2022-12-11,12:39:00
ตำรวจจีนจับกุมแก๊งฟอกเงินผ่านคริปโทฯ มีบางส่วนหนีมากรุงเทพก่อนกลับจีน,2022-12-12,23:22:00
บอนด์ยีลด์สหรัฐร่วงหลุด 3.5% หลังเงินเฟ้อผ่านจุดพีค,2022-12-13,23:33:00
ดาวโจนส์พุ่งไม่หยุด ล่าสุดทะยานกว่า 200 จุด เก็งเฟดขึ้นดอกเบี้ย 0.50% ตามคาด,2022-12-14,23:30:00
ดาวโจนส์ร่วงต่อเนื่อง ล่าสุดวูบกว่า 800 จุด ผวาเฟดขึ้นดบ.ทุบเศรษฐกิจถดถอย,2022-12-15,23:57:00
"ดาวโจนส์ไหลไม่หยุด ล่าสุดทรุดกว่า 400 จุด บอนด์ยีลด์พุ่ง,เฟดขึ้นดบ.ฉุดตลาด",2022-12-16,23:33:00
แมกโนเลียฯ ออกหุ้นกู้ 2 ชุดดอกเบี้ย 6.75%-7.10% ขายสถาบัน-รายใหญ่ 20-24 ม.ค.66,2022-12-17,16:30:00
ดาวโจนส์ผันผวนแกว่งตัวบวกลบ จับตาเงินเฟ้อศุกร์นี้,2022-12-19,23:46:00
ดาวโจนส์ผันผวนแกว่งตัวบวกลบ กังวลญี่ปุ่นคุมเข้มนโยบายการเงิน,2022-12-20,23:37:00
ดาวโจนส์ร้อนแรง ล่าสุดทะยานกว่า 500 จุด,2022-12-21,22:47:00
ดาวโจนส์ดิ่งเหว วูบกว่า 500 จุด หุ้นร่วงยกแผง กังวลเฟดขึ้นดบ.ฉุดศก.ถดถอย,2022-12-22,23:57:00
ดาวโจนส์พลิกดีดบวก ขานรับดัชนีความเชื่อมั่นผู้บริโภคสูงกว่าคาด,2022-12-23,23:03:00
"กรอบหุ้นสัปดาห์หน้า 1,590-1,635 จับตา Flow-โควิดจีน-ข้อมูลศก.สหรัฐ",2022-12-24,08:57:00
PCC คว้างานปรับปรุงสถานีไฟฟ้าอ่าวไผ่ 2 มูลค่า 281.50 ลบ.,2022-12-25,13:50:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex พุ่งกว่า 700 จุด ซื้อเก็งกำไรหนุนตลาด,2022-12-26,18:46:00
ดาวโจนส์พลิกพุ่งกว่า 100 จุด ขานรับจีนเปิดประเทศครั้งแรกรอบ 3 ปี,2022-12-27,22:39:00
"ดาวโจนส์ไหลไม่หยุด ล่าสุดดิ่งเกือบ 200 จุด ใกล้หลุดแนว 33,000",2022-12-28,23:22:00
"ดาวโจนส์พุ่งไม่หยุด ล่าสุดทะยานกว่า 300 จุด ทะลุแนว 33,000",2022-12-29,22:31:00
รูปีทรุด 11.3% ขึ้นแท่นสกุลเงินเอเชียปรับตัวย่ำแย่ที่สุดปีนี้,2022-12-30,23:37:00
"ลุ้นหุ้นไทยสัปดาห์น้าแตะ 1,700 จุด",2022-12-31,16:44:00
"ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex พุ่งกว่า 300 จุด ทะลุ 61,000 ประเดิมปี 66",2023-01-02,19:44:00
"ดาวโจนส์พลิกร่วงกว่า 100 จุด ใกล้หลุด 33,000 กังวลภาคการผลิตสหรัฐหดตัว",2023-01-03,22:50:00
ดาวโจนส์ร้อนแรง พุ่งกว่า 200 จุด คาดเฟดชะลอขึ้นดบ. หลังภาคการผลิตหดตัว,2023-01-04,23:47:00
ดาวโจนส์ไหลไม่หยุด ล่าสุดทรุดกว่า 400 จุด ผวาเฟดขึ้นดอกเบี้ย หลังจ้างงานแกร่ง,2023-01-05,23:29:00
ดาวโจนส์ร้อนแรง พุ่งกว่า 500 จุด คาดเฟดชะลอขึ้นดบ. หลังเงินเฟ้อแผ่ว,2023-01-06,23:19:00
ตลท.-TFEX เตรียมปรับเกณฑ์ซื้อขายหุ้นใหม่ เริ่มใช้ Q1/66,2023-01-07,10:27:00
CWT ซื้อไออีซี สระแก้ว1 รวมที่ดิน มูลค่า 238 ลบ.เติมพอร์ตโรงไฟฟ้าชีวมวล 8 MW,2023-01-08,15:44:00
ดาวโจนส์พุ่งไม่หยุด ล่าสุดทะยานกว่า 200 จุด,2023-01-09,22:53:00
ราคาหุ้น Coinbase พุ่ง หลังประกาศปลดพนักงาน,2023-01-10,23:38:00
ดาวโจนส์บวกกว่า 100 จุด ก่อนเผยตัวเลขเงินเฟ้อสหรัฐ,2023-01-11,21:47:00
"ดาวโจนส์พลิกพุ่งทะลุแนว 34,000 เก็งเฟดขึ้นดบ. 0.25% เดือนก.พ.",2023-01-12,22:27:00
ดาวโจนส์ผันผวน แกว่งตัวแดนบวกลบ หลังเผยผลประกอบการกลุ่มแบงก์,2023-01-13,23:02:00
"บล.กสิกรฯ คาดดัชนีหุ้นไทยสัปดาห์หน้า 1,650-1,710 ลุ้นผลประกอบการกลุ่มแบงก์",2023-01-14,08:51:00
(เพิ่มเติม) THCOM คว้าใบอนุญาตดาวเทียม 2 ชุด 78.5E และ 119.5E จ่าย 797.4 ลบ.,2023-01-15,14:36:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ร่วงกว่า 100 จุด แรงขายต่างชาติกดดันตลาด,2023-01-16,22:50:00
"ดาวโจนส์ดิ่งกว่า 300 จุด หลุดแนว 34,000 หุ้น ""โกลด์แมน แซคส์"" ฉุดตลาด",2023-01-17,23:11:00
บอนด์ยีลด์สหรัฐร่วง หลังดัชนี PPI บ่งชี้เงินเฟ้อผ่านจุดพีค,2023-01-18,23:44:00
"ดาวโจนส์ดิ่งกว่า 200 จุด ใกล้หลุด 33,000 กังวลเศรษฐกิจถดถอย",2023-01-19,22:28:00
"ดาวโจนส์พลิกดีดตัวกว่า 100 จุด เหนือแนว 33,000 หลังร่วงลงช่วงแรก",2023-01-20,23:24:00
บิตคอยน์พุ่งทะลุ 2.2 หมื่นดอลล์ สูงสุดในรอบ 4 เดือน,2023-01-21,16:13:00
ยูโรพุ่งนิวไฮ 9 เดือนเทียบดอลลาร์ ขานรับ ECB ส่งสัญญาณขึ้นดบ.แรงกว่าเฟด,2023-01-23,23:19:00
ตลาดหุ้นนิวยอร์กประกาศซื้อขายหุ้นได้ตามปกติแล้ว หลังประสบปัญหาเทคนิค,2023-01-24,22:27:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ร่วงกว่า 700 จุด ท่ามกลางการซื้อขายผันผวน,2023-01-25,23:11:00
บอนด์ยีลด์สหรัฐดีดตัว นักลงทุนเปิดรับความเสี่ยง หลังเผยเศรษฐกิจแกร่ง,2023-01-26,23:27:00
"หุ้น ""อินเทล"" ร่วง นลท.ผิดหวังผลประกอบการ",2023-01-27,23:59:00
เปิดศักราชใหม่ บริษัทจีนแห่ระดมทุนในตลาดหุ้นแซงหน้าบริษัทสหรัฐ-ยุโรป,2023-01-28,17:02:00
"ดาวโจนส์แทบไม่ขยับ หลังร่วงกว่า 100 จุด จับตาผลประกอบการ,ประชุมเฟด",2023-01-30,23:19:00
"ดาวโจนส์พลิกพุ่งเกือบ 100 จุด ขานรับผลประกอบการ,เก็งเฟดขึ้นดบ. 0.25%",2023-01-31,23:14:00
ดาวโจนส์ไหลไม่หยุด ล่าสุดดิ่งกว่า 300 จุด ก่อนเฟดเผยผลประชุมคืนนี้,2023-02-01,23:20:00
บอนด์ยีลด์สหรัฐปรับตัวลง รับการประชุมเฟดวานนี้,2023-02-02,23:03:00
ดาวโจนส์ร่วงกว่า 100 จุด ผวาจ้างงานร้อนแรงหนุนเฟดเร่งขึ้นดอกเบี้ยสยบเงินเฟ้อ,2023-02-03,22:05:00
BA หยุดบินเส้นทางไป-กลับ หาดใหญ่และดานัง ชั่วคราว,2023-02-04,15:14:00
สนามบินภูเก็ตกลับมาใช้งานปกติหลังเครื่องบินAZURAIR ขัดข้องกลางรันเวย์กระทบ 16 ไฟล์ท,2023-02-05,11:33:00
